Input,BioGro #,Licensee,Type,Category,Sub Type
True Blue Australian Tea Tree Oil,720.0,True Blue Organics,Livestock Treatment,Herbal remedies,Tea Tree Oil
True Blue Tea Tree Hydrosol,720.0,True Blue Organics,Livestock Treatment,Herbal remedies,Tea Tree Oil
True Health Aloe,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Tub aviare 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Tubericulinum 30c, 200c, 1M",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Tui Blood & Bone,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Tui Blood & Bone (SKU# 1012486),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Tui Blood & Bone 25Kg,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Tui Organic Compost (SKU# 1012792),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Compost,
Tui Organic Compost 30L,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Compost,
Tui Organic General Fertiliser 5Kg,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Tui Organic Potting Mix,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Organic Potting Mix (SKU# 1012790),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Organic Potting Mix 30L,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Organic Seaweed Tonic,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Tui Organic Seed Raising Mix,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Organic Seed Raising Mix (SKU# 1012793),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Organic Seed Raising Mix 15L,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,Seed Raising Mix
Tui Organic Sheep Pellets,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Tui Organic Vegetable Mix (SKU# 1012791),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Organic Vegetable Mix 30L,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,Seed Raising Mix
Tui Organics Seaweed Tonic,5291.0,"Seasol International, a division of DuluxGroup (Australia) Pty Ltd",Soil & Plant Nutrition,Seaweed Fertiliser,
Tui Performance Organics All Purpose Fertiliser Pellets,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Performance Organics Compost,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Performance Organics Fruit & Citrus Fertiliser Pellets,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Performance Organics Potting Mix,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Performance Organics Seed Raising Mix,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Performance Organics Tomato & Vegetable Fertiliser Pellets,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Tui Performance Organics Vegetable Mix,5482.0,Tui Products Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Turbicel,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Turbo Boost,5638.0,Southern Humates,Soil & Plant Nutrition,Humate,
Turnip Milan White Red Top (Code - 3720),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Tyrannosaurus / Apis,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Udder Combo No.1,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Udder Combo No.2,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Ulexite,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,5936.0,Zenith Ltd,Soil & Plant Nutrition,,
Ulexite,4993.0,Livestock Supplies NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,5113.0,Soil Health Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ulexite Fine Granular,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ultima Fresh,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Ultima Soft,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
UltraFoam,5576.0,AWS Group,Facility Management,Cleaning,
Uncrushed Quarry Rock,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Unique-O (SKU# 1020012),4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,
Unishield,4429.0,UPL New Zealand Ltd,Crop Management,Fungicide,
Unishield,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Unite,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Unite,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Unite,3515.0,Agrimm Technologies Ltd,Crop Management,Pesticide,
Unite (SKU# 1008164),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
"Urtica urens 6c, 9c, 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Utter Relief,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Uvaferm 43 (YSEO),5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Uvaferm 43 Restart,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Uvaferm BDX (YSEO),5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Uvaferm CEG,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Uvaferm EXENCE,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Uvaferm GHM (YSEO),5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Uvaferm HPS (YSEO),5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Uvaferm SVG,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Uvaferm VRB (YSEO),5596.0,Lallemand Australia Pty Ltd,Inoculant,,
V Activ Scorze-Easy Activ Hulls,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
V Malo Activ,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
V Starter Arom,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
V Starter TF,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
V Tan,5593.0,Pacific Rim Oenology Services Ltd,Clarification / Fining,,
Vantosan,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Vectobac WG,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
VectoBac WG,4027.0,Nufarm NZ Ltd,Crop Management,Pesticide,
Vectobac WG,5578.0,Sumitomo Chemical Australia PTY Ltd,Crop Management,Pesticide,
Vegecoll,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Vegefine,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Vegeflot,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Vegemust,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Vegetable and Herb Seedlings,5068.0,Weathersfield Certified Organics,Seeds and Planting Stock,Seedling,
Vegetable and Herb Seedlings,5068.0,Weathersfield Certified Organics,Seeds and Planting Stock,Vegetable seedling,
Vegetable and Herb Seedlings,5068.0,Weathersfield Certified Organics,Seeds and Planting Stock,Seedling,
Vegetable and Herb Seedlings,5068.0,Weathersfield Certified Organics,Seeds and Planting Stock,Seedling,
Vegetable and Herb Seedlings,5068.0,Weathersfield Certified Organics,Seeds and Planting Stock,Seedling,
VEPRO,6300.0,Sustainable Agro Solutions SA,Soil & Plant Nutrition,Mineral Fertiliser,
"Veratrum album 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Vermiculite 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Vermis Complex 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
VerteSea,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
VerteSea,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
VerteSea,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
"Vespa 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Viafos - FosSul,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Viafos - K-Plus,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Viafos - LeaderSul 90,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Viafos - MiSK Natural Fertiliser Chip and Powder,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Viafos - Potash 22,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Ash,
Viafos - V10 Granule and Powder,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Viafos- Renwick Transport,5029.0,Flynn Holdings Ltd,Other - Service,,
Viazym Clarif Extrem,5629.0,Esvin Wine Resources Ltd,Other - Wine Additions,,
Viazym Flux,5629.0,Esvin Wine Resources Ltd,Other - Wine Additions,,
Viburnum opulus 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Vinasse Organo-N,433.0,Sustain-Ability TA EcoGrape Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Vinevax Biodowel,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Vinevax Biodowel,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Vinevax Biodowel,3515.0,Agrimm Technologies Ltd,Crop Management,Pesticide,
Vinevax Biodowel (SKU# 1020590),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
Vinevax Bioinjection,3515.0,Agrimm Technologies Ltd,Crop Management,Pesticide,
Vinevax Pruning Wound Dressing,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Vinevax Pruning Wound Dressing,3515.0,Agrimm Technologies Ltd,Crop Management,Pesticide,
"Vinevax Pruning Wound Dressing (SKU# 1009767, 1009786)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
Vinevax Wound Dressing,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Viniflora CH11,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora CH16,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora CH35,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora CiNe,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Concerto,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora FrootZen,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Harmony,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Jazz,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Melody,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Merit,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora NoVA,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Octave,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Oenos,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Prelude,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Rhythm,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Sparta,5604.0,CHR Hansen Pty Ltd,Inoculant,,
Viniflora Symphony,5604.0,CHR Hansen Pty Ltd,Inoculant,,
ViniTannin Multi Extra,5586.0,Kauri NZ Ltd,Stabilisation,Tannin / Colour Stabilization,Tannins / tannic acid
ViniTannin SR,5586.0,Kauri NZ Ltd,Stabilisation,Tannin / Colour Stabilization,Tannins / tannic acid
ViniTannin W,5586.0,Kauri NZ Ltd,Stabilisation,Tannin / Colour Stabilization,Tannins / tannic acid
Vinoclear Classic,5605.0,Winequip Products Ltd,Enzyme,Extraction Aids,Pectolytic enzymes
Vinocrush Classic,5605.0,Winequip Products Ltd,Enzyme,Extraction Aids,Pectolytic enzymes
Vinozym FCE G,5605.0,Winequip Products Ltd,Enzyme,Extraction Aids,Pectolytic enzymes
Vinozym Vintage FCE,5605.0,Winequip Products Ltd,Enzyme,Extraction Aids,Pectolytic enzymes
Virex,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Insecticide,
Virex,4432.0,Horticentre Ltd,Crop Management,Insecticide,
Virex (SKU# 1009132),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Vita Plus Blend (Code - 4070),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Vitalife Calcium,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Vitalife Calcium,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Vitalife Carbon,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Compost,
Vitalife Carbon,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Compost,
Vitalife Magnesium,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Vitalife Magnesium,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Vitalife Magnesium Plus,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Vitalife Magnesium Plus,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Vitamin D3 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Vitanil B,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Vitaphos,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Vitaphos,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
VitiFerm Alba Fria,5586.0,Kauri NZ Ltd,Inoculant,Yeast,
VitiFerm BIO Vulcano,5586.0,Kauri NZ Ltd,Inoculant,,
VitiFerm Esprit BIO,5586.0,Kauri NZ Ltd,Inoculant,Yeast,
VitiFerm Pinot Alba,5586.0,Kauri NZ Ltd,Inoculant,Yeast,
VitiFerm Rubino Extra,5586.0,Kauri NZ Ltd,Inoculant,Yeast,
VitiFerm Sauvage BIO,5586.0,Kauri NZ Ltd,Inoculant,Yeast,
Vitilevure 58W3 YSEO 500G,5629.0,Esvin Wine Resources Ltd,Yeast Nutrient,,
Volclay WG KWK (Bentonite),4472.0,Farmlands Co-Operative Society Ltd,Clarification / Fining,,
Vulture / Robin,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Waikaitu NZBioActive,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Seaweed Fertiliser,
Waikaitu NZBioAmino Nitrogen,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Seaweed Fertiliser,
Watermelon Crimson Sweet (Code - 3725),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Watermelon Sugar Baby (Code - 3730),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Weed Weapon Natural Power Concentrate,4850.0,Kiwicare Corporation Ltd,Crop Management,Herbicide,
Weed Weapon Natural Power RTU,4850.0,Kiwicare Corporation Ltd,Crop Management,Herbicide,
WEEDEM,5504.0,Biogrow (2021) Ltd,Crop Management,Herbicide,
Weedenz Rapid,4828.0,Orion Agriscience Ltd,Crop Management,Herbicide,
Weedenz Rapid,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Herbicide,
Weedenz Rapid,4432.0,Horticentre Ltd,Crop Management,Herbicide,
"Weedenz Rapid (SKU# 1030861, 1023813, 1003200, 1003199)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Herbicide,
White Mustard (Code - 4114 Component),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Will-John Tincture,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
WINY (PMS),5682.0,Enartis Pacific Pty Ltd,Preservative / Antioxidant,Sulphur,Potassium metabisulphite (PMS)
Wood Vinegar,5504.0,Biogrow (2021) Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Woodshield posts (polyethylene coated timber posts),5365.0,Woodshield Pty Ltd,Farm Management,Crop Husbandry / Orchard Management,Fencing
wool dust,4776.0,BioRich Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
wool dust,4776.0,BioRich Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Wuxal Amino,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Plant Extract / Lysate,
Wuxal Amino,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Plant Extract / Lysate,
Xen Tari WG,4027.0,Nufarm NZ Ltd,Crop Management,Pesticide,
Xen Tari WG,5578.0,Sumitomo Chemical Australia PTY Ltd,Crop Management,Pesticide,
XPRO Finesse,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
XPRO Grape,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
XPRO Identity Red,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
XPRO Identity White,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
XPRO Protection,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
XPRO Verve,5593.0,Pacific Rim Oenology Services Ltd,Yeast Nutrient,,
Yates Conqueror Spraying Oil,2927.0,Yates - A division of DuluxGroup (NZ),Crop Management,Fungicide,
Yates Copper Oxychloride,2927.0,Yates - A division of DuluxGroup (NZ),Crop Management,Fungicide,
"Yates Nature’s Way Organic Citrus, Vegie & Ornamental Spray",2927.0,Yates - A division of DuluxGroup (NZ),Crop Management,Pesticide,
Yates Nature's Way Clove Oil Based Weed Gun,2927.0,Yates - A division of DuluxGroup (NZ),Crop Management,Adjuvant,
Yates Nature's Way Fungus Spray,2927.0,Yates - A division of DuluxGroup (NZ),Crop Management,Fungicide,
Yates Nature's Way Natrasoap Concentrate Vegie Insect Spray,2927.0,Yates - A division of DuluxGroup (NZ),Crop Management,Insecticide,
Yates Nature's Way Natrasoap Vegie Insect Gun,2927.0,Yates - A division of DuluxGroup (NZ),Crop Management,Insecticide,
Yates Nature's Way Organic Citrus Mix,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Soil/Potting Mix,
Yates Nature's Way Organic Compost,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Compost,
Yates Nature's Way Organic Flowers Mix,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Soil/Potting Mix,
Yates Nature's Way Organic Potting Mix,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Soil/Potting Mix,
Yates Nature's Way Organic Seed Raising Mix,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Soil/Potting Mix,Seed Raising Mix
Yates Nature's Way Organic Strawberry Mix,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Soil/Potting Mix,
Yates Nature's Way Organic Tomato Mix,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Soil/Potting Mix,
Yates Nature's Way Organic Vegie & Herb Mix,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Soil/Potting Mix,
Yates Thrive Natural Blood and Bone,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Animal Derived Fertiliser,
Yates Thrive Natural Dolomite Lime,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Mineral Fertiliser,
Yates Thrive Natural Garden Lime,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Mineral Fertiliser,
Yates Thrive Natural Seaweed Concentrate,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Seaweed Fertiliser,
Yates Thrive Natural Seaweed Hose-On,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Seaweed Fertiliser,
Yates Thrive Natural Sulphate of potash,2927.0,Yates - A division of DuluxGroup (NZ),Soil & Plant Nutrition,Mineral Fertiliser,
Yersinia 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Zeolite (Nufeed),2846.0,Blue Pacific Minerals Ltd,Livestock Feed / Supplement,Supplement,Mineral
Zeolite (Nugreen),2846.0,Blue Pacific Minerals Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Zero Naturals Weedkiller,2927.0,Yates - A division of DuluxGroup (NZ),Crop Management,Herbicide,
ZeroIn,2753.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
ZhuZinc Zinc Sulphate Heptahydrate,6029.0,Redox Limited,Livestock Feed / Supplement,Supplement,Mineral
ZhuZinc Zinc Sulphate Heptahydrate,6029.0,Redox Limited,Soil & Plant Nutrition,Mineral Fertiliser,
ZhuZinc Zinc Sulphate Monohydrate,6029.0,Redox Limited,Soil & Plant Nutrition,Mineral Fertiliser,
ZhuZinc Zinc Sulphate Monohydrate,6029.0,Redox Limited,Livestock Feed / Supplement,Supplement,Mineral
Zimaflow,5593.0,Pacific Rim Oenology Services Ltd,Enzyme,,
Zimafruit,5593.0,Pacific Rim Oenology Services Ltd,Enzyme,,
Zimared Plus,5593.0,Pacific Rim Oenology Services Ltd,Enzyme,,
Zimarom,5593.0,Pacific Rim Oenology Services Ltd,Enzyme,,
Zimaskin,5593.0,Pacific Rim Oenology Services Ltd,Enzyme,,
Zinc Oxide,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Zinc Oxide,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Zinc Oxide,5082.0,Fertco 2016 Ltd,Livestock Treatment,Remedies,
Zinc Oxide,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Zinc Oxide,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Zinc Oxide,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Zinc oxide,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Zinc Oxide,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
